premise	hypothesis	us_ratings	in_ratings
Won't you give any discount? she asked. "No madam, these are really very good items and that's why they are costly but you can give me ten bucks less."	The seller is willing to negotiate with the customer for a discount.	['N', 'N', 'E', 'E', 'E']	['E', 'C', 'N', 'N', 'N', 'N', 'N']
As she sat by the river with her fishing rod in hand, she occasionally checked her emails on her smartphone - it was simply the modern way of multitasking.	She was experienced and confident in her fishing skills.	['N', 'N', 'N', 'C', 'N']	['E', 'N', 'N', 'N']
As she sat by the river with her fishing rod in hand, she occasionally checked her emails on her smartphone - it was simply the modern way of multitasking.	She had not been catching much fish.	['N', 'E', 'N', 'N', 'N']	['C', 'N', 'N', 'N']
As she sat by the river with her fishing rod in hand, she occasionally checked her emails on her smartphone - it was simply the modern way of multitasking.	She had a good work life balance.	['N', 'N', 'N', 'E', 'N']	['N', 'N', 'N', 'N']
Disallowing bargaining is the only way to make fair prices.	Having fair prices was necessary.	['E', 'C', 'E', 'N', 'E', 'N', 'E']	['N', 'E', 'E', 'E', 'E', 'N', 'E']
Disallowing bargaining is the only way to make fair prices.	One should value having fair price over offering flexible pricing options to customers.	['N', 'E', 'N', 'E', 'C', 'E', 'E']	['C', 'E', 'C', 'E', 'E', 'N', 'E']
Disallowing bargaining is the only way to make fair prices.	Bargaining does not help with fair prices.	['N', 'C', 'N', 'N', 'C', 'N', 'E']	['C', 'C', 'E', 'C', 'C', 'C', 'C']
Being kind to others is not seen as praiseworthy and the failure to observe these sorts of minor graces is seen as a moral failing.	The speaker believes that people are supposed to be kind to others.	['N', 'N', 'E', 'N']	['N', 'C', 'N', 'E', 'E', 'C', 'E']
Being kind to others is not seen as praiseworthy and the failure to observe these sorts of minor graces is seen as a moral failing.	The speaker believes that people do not value being kind to others.	['E', 'N', 'E', 'E']	['E', 'E', 'E', 'C', 'C', 'C', 'E']
Being kind to others is not seen as praiseworthy and the failure to observe these sorts of minor graces is seen as a moral failing.	The speaker believes that people fail to appreciate the graces of being kind to others.	['E', 'N', 'E', 'E']	['E', 'E', 'E', 'E', 'E', 'E', 'E']
Nothing says "professional" like getting down on your knees to touch a stranger's feet at a nail shop.	The speaker is expressing disapproval towards the act of getting down on one's knees to touch a stranger's feet at a nail shop.	['E', 'C', 'C', 'E', 'C', 'N', 'E']	['C', 'E', 'C', 'E', 'E', 'E', 'C']
Nothing says "professional" like getting down on your knees to touch a stranger's feet at a nail shop.	The speaker suggests the act of getting down on one's knees to touch a stranger's feet at a nail shop is a professional behavior.	['C', 'E', 'E', 'C', 'E', 'N', 'C']	['E', 'C', 'E', 'C', 'C', 'C', 'E']
Nothing says "professional" like getting down on your knees to touch a stranger's feet at a nail shop.	The speaker feels comfortable about what people do at a nail shop.	['C', 'N', 'N', 'C', 'C', 'N', 'N']	['C', 'N', 'E', 'C', 'C', 'C', 'C']
As he cast his line into the sparkling blue water on a sunny Friday morning, he absentmindedly checked his emails on his phone.	He had a good balance of his passion and work.	['N', 'N', 'C', 'N', 'N']	['N', 'N', 'C', 'N', 'E', 'C']
As he cast his line into the sparkling blue water on a sunny Friday morning, he absentmindedly checked his emails on his phone.	He was not very passionate about fishing.	['C', 'N', 'E', 'N', 'N']	['C', 'E', 'N', 'C', 'C', 'N']
As he cast his line into the sparkling blue water on a sunny Friday morning, he absentmindedly checked his emails on his phone.	He was taking a break from his work.	['E', 'E', 'C', 'N', 'N']	['C', 'N', 'E', 'E', 'E', 'E']
A glamorous outdoor party calls for a fancy long dress to make a statement.	A formal dress is appropriate attire for a glamorous outdoor party.	['E', 'C', 'E', 'E', 'E', 'E', 'E']	['N', 'N', 'E', 'E', 'N', 'E', 'E', 'C', 'N', 'C']
A glamorous outdoor party calls for a fancy long dress to make a statement.	The dress code for the glamorous outdoor party is formal.	['E', 'N', 'E', 'E', 'C', 'E', 'N']	['C', 'C', 'E', 'E', 'N', 'N', 'N', 'C', 'N', 'N']
A glamorous outdoor party calls for a fancy long dress to make a statement.	Wearing a suit to a glamorous outdoor party can also make the desired statement.	['E', 'C', 'N', 'N', 'N', 'N', 'N']	['C', 'C', 'N', 'E', 'N', 'N', 'C', 'E', 'N', 'C']
He tried to explain to me about his housing situation with his parents, as if he had done something wrong.	He believed that he had done something wrong about his housing situation.	['N', 'E', 'E', 'N', 'N', 'C']	['C', 'E', 'E', 'E', 'C', 'C']
He tried to explain to me about his housing situation with his parents, as if he had done something wrong.	He felt embarrassed living with his parents.	['N', 'N', 'E', 'E', 'C', 'E']	['N', 'N', 'N', 'C', 'E', 'N']
He tried to explain to me about his housing situation with his parents, as if he had done something wrong.	He was trying to justify his housing situation to his parents.	['N', 'N', 'N', 'C', 'C', 'C']	['E', 'N', 'C', 'C', 'N', 'N']
The stock market is more likely to open in the red than in the green today.	There is a higher probability of gains for investors when the stock market opens today.	['C', 'N', 'N', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'N']
The stock market is more likely to open in the red than in the green today.	It is possible that the stock market will open in the green today.	['N', 'E', 'N', 'C', 'N', 'E', 'C', 'C']	['C', 'N', 'N', 'C', 'N', 'N', 'C', 'N', 'C', 'C', 'C']
The stock market is more likely to open in the red than in the green today.	Investors need to be prepared for a potential downward trend when the stock market opens today.	['E', 'N', 'E', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'N', 'E', 'E', 'E', 'N', 'E', 'E', 'N']
Using the computer at the government office is definitely a delightful experience, full of speedy and efficient processes with absolutely no technical glitches whatsoever.	The person using the computer at the government office is impressed with the efficiency and technical prowess of the computer systems.	['E', 'E', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E', 'E', 'E', 'C', 'N']
Using the computer at the government office is definitely a delightful experience, full of speedy and efficient processes with absolutely no technical glitches whatsoever.	The person thought the government's computer systems are slow, inefficient and full of technical glitches.	['C', 'C', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']
Using the computer at the government office is definitely a delightful experience, full of speedy and efficient processes with absolutely no technical glitches whatsoever.	The person is being diplomatic and trying to maintain a positive attitude towards the government's computer systems.	['C', 'N', 'N', 'N', 'E', 'C', 'N']	['C', 'N', 'E', 'N', 'N', 'N', 'N', 'C', 'N']
Amidst the roar of the engines, one could hardly expect a civilized conversation, let alone a subdued whisper, in the airplane cabin.	The noise levels in an airplane cabin is high due to the engine noises.	['E', 'N', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E', 'C', 'E', 'E', 'E', 'E']
Amidst the roar of the engines, one could hardly expect a civilized conversation, let alone a subdued whisper, in the airplane cabin.	People should be more considerate of their fellow passengers in an airplane cabin.	['N', 'E', 'N', 'C', 'N', 'C', 'C']	['C', 'N', 'E', 'E', 'N', 'E', 'C', 'C', 'N', 'C']
Amidst the roar of the engines, one could hardly expect a civilized conversation, let alone a subdued whisper, in the airplane cabin.	Having loud conversations should not be criticized in an airplane cabin due to engine noises.	['N', 'N', 'E', 'E', 'E', 'E', 'C']	['C', 'N', 'C', 'N', 'C', 'C', 'N', 'C', 'N', 'C']
Having a water fight at the pool gives you the perfect chance to get sopping wet before even getting a chance to swim.	The speaker is encouraging others to have a fun water fight at the pool.	['N', 'N', 'E', 'E', 'N', 'E']	['N', 'E', 'E', 'E', 'E', 'C', 'N', 'N']
Having a water fight at the pool gives you the perfect chance to get sopping wet before even getting a chance to swim.	The speaker thinks a water fight would be a waste of time and prevent people from actually swimming.	['C', 'N', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'N', 'C', 'N', 'C', 'C']
Having a water fight at the pool gives you the perfect chance to get sopping wet before even getting a chance to swim.	The speaker is eager to participate in the water fight.	['N', 'N', 'E', 'E', 'N', 'N']	['E', 'E', 'E', 'E', 'E', 'C', 'N', 'N']
As he observed from his seat in the cinema, it was quite clear that the young couple in front of him were yawning.	The young couple in front of him were completely entertained by the movie.	['C', 'C', 'C', 'C', 'C', 'C', 'N', 'C']	['C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'C', 'C', 'C']
As he observed from his seat in the cinema, it was quite clear that the young couple in front of him were yawning.	The young couple were feeling bored watching the movie.	['E', 'E', 'E', 'E', 'E', 'N', 'E', 'E']	['N', 'E', 'E', 'E', 'C', 'E', 'E', 'E', 'E', 'E', 'E']
As he observed from his seat in the cinema, it was quite clear that the young couple in front of him were yawning.	The young couple distracted him from watching the movie.	['C', 'E', 'N', 'E', 'N', 'N', 'N', 'N']	['E', 'N', 'N', 'N', 'N', 'N', 'C', 'N', 'N', 'E', 'C']
Leaving your phone on at a dance studio can earn you some serious side-eye from the other dancers.	Leaving your phone on at a dance studio makes other dancers curious about your phone.	['C', 'N', 'N', 'N', 'C', 'C', 'C']	['C', 'N', 'C', 'C', 'C', 'C', 'E', 'C', 'E']
Leaving your phone on at a dance studio can earn you some serious side-eye from the other dancers.	It is important to put your phone on silent mode before entering a dance studio.	['E', 'E', 'E', 'E', 'E', 'E', 'E']	['E', 'C', 'E', 'E', 'E', 'E', 'C', 'C', 'C']
Leaving your phone on at a dance studio can earn you some serious side-eye from the other dancers.	The other dancers at the studio are very casual about phone usage.	['C', 'C', 'C', 'N', 'N', 'C', 'C']	['C', 'N', 'N', 'C', 'N', 'C', 'N', 'C', 'N']
Yo, everyone knows that chilling in the lobby at the opera house is just part of the vibe.	Hanging out in the lobby of the opera house is an expected activity that contributes to the atmosphere.	['E', 'E', 'N', 'N', 'N', 'N']	['N', 'E', 'E', 'E', 'N', 'C']
Yo, everyone knows that chilling in the lobby at the opera house is just part of the vibe.	Spending time in the lobby of the opera house is a necessary aspect of fitting in with the opera house culture.	['E', 'N', 'E', 'N', 'N', 'N']	['N', 'N', 'N', 'E', 'N', 'E']
Yo, everyone knows that chilling in the lobby at the opera house is just part of the vibe.	Staying in the opera house lobby is not a well accepted practice.	['N', 'C', 'N', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C', 'C']
She watched as the other women played in the waves in their bathing suits, while she sat on the sand in her dress, feeling like an outsider.	She enjoyed watching the other women playing in the waves and felt content sitting on the sand observing the scene.	['C', 'N', 'C', 'C', 'C']	['C', 'N', 'C', 'E', 'E']
She watched as the other women played in the waves in their bathing suits, while she sat on the sand in her dress, feeling like an outsider.	She felt excluded from the group of women playing in the waves because of different dressing.	['N', 'E', 'E', 'E', 'E']	['E', 'N', 'N', 'N', 'N']
She watched as the other women played in the waves in their bathing suits, while she sat on the sand in her dress, feeling like an outsider.	She was not interested in playing in the waves.	['C', 'N', 'N', 'N', 'N']	['C', 'N', 'C', 'C', 'C']
Nothing says "comfortable and practical" like wearing a long flowy dress to the beach.	A long flowy dress is a comfortable and practical attire for the beach.	['E', 'E', 'C', 'N', 'E']	['E', 'N', 'E', 'C', 'C']
